EstudianteID,Nombre,FechaIngreso,Genero,Ciudad,anio_x,InscripcionID,CarreraID,NotaFinal,SemestreActual,anio_y
1,Estudiante_1,2022-12-18,f,Sucre,2022,1,2,73.0,10,2024
2,Estudiante_2,2022-05-27,f,Santa Cruz de la Sierra,2022,2,5,66.0,6,2024
3,Estudiante_3,2020-08-02,m,Santa Cruz de la Sierra,2020,3,3,59.0,8,2024
4,Estudiante_4,2021-02-01,f,La Paz,2021,4,4,54.0,7,2024
5,Estudiante_5,2022-08-12,f,Santa Cruz de la Sierra,2022,5,1,80.0,2,2024
6,Estudiante_6,2023-06-16,m,Cochabamba,2023,6,5,82.0,10,2024
7,Estudiante_7,2021-08-27,f,Santa Cruz de la Sierra,2021,7,1,66.0,2,2024
8,Estudiante_8,2020-12-01,f,Tarija,2020,8,4,84.0,7,2024
9,Estudiante_9,2020-02-07,m,La Paz,2020,9,4,57.0,9,2024
10,Estudiante_10,2021-03-28,m,Santa Cruz de la Sierra,2021,10,4,66.0,1,2024
11,Estudiante_11,2023-02-24,m,La Paz,2023,11,2,56.0,2,2024
12,Estudiante_12,2021-08-25,m,La Paz,2021,12,3,66.0,4,2024
13,Estudiante_13,2023-10-21,f,Cochabamba,2023,13,1,75.0,6,2024
14,Estudiante_14,2020-07-04,f,Tarija,2020,14,1,60.0,6,2024
15,Estudiante_15,2022-01-29,m,Santa Cruz de la Sierra,2022,15,4,54.0,6,2024
16,Estudiante_16,2020-07-26,m,La Paz,2020,16,1,51.0,9,2024
17,Estudiante_17,2022-07-27,m,Santa Cruz de la Sierra,2022,17,4,69.0,10,2024
18,Estudiante_18,2020-08-05,f,La Paz,2020,18,4,66.0,6,2024
19,Estudiante_19,2022-10-22,f,Santa Cruz de la Sierra,2022,19,1,65.0,4,2024
20,Estudiante_20,2023-02-20,f,Sucre,2023,20,2,66.0,9,2024
21,Estudiante_21,2021-05-21,m,La Paz,2021,21,5,66.0,2,2024
22,Estudiante_22,2023-11-05,m,Cochabamba,2023,22,4,73.0,9,2024
23,Estudiante_23,2020-09-14,f,Tarija,2020,23,1,70.0,7,2024
24,Estudiante_24,2021-03-08,m,La Paz,2021,24,4,61.0,7,2024
25,Estudiante_25,2022-04-30,f,Sucre,2022,25,2,86.0,1,2024
26,Estudiante_26,2022-03-18,f,Cochabamba,2022,26,2,73.0,3,2024
27,Estudiante_27,2021-07-19,m,La Paz,2021,27,4,26.0,4,2024
28,Estudiante_28,2023-01-29,m,La Paz,2023,28,4,92.0,4,2024
29,Estudiante_29,2023-12-21,f,Sucre,2023,29,1,62.0,5,2024
30,Estudiante_30,2021-07-10,f,Santa Cruz de la Sierra,2021,30,2,87.0,8,2024
31,Estudiante_31,2023-07-29,m,La Paz,2023,31,4,66.0,3,2024
32,Estudiante_32,2023-03-26,m,La Paz,2023,32,1,66.0,3,2024
33,Estudiante_33,2022-03-30,m,Santa Cruz de la Sierra,2022,33,3,88.0,2,2024
34,Estudiante_34,2021-10-01,f,La Paz,2021,34,2,73.0,3,2024
35,Estudiante_35,2022-09-18,f,Santa Cruz de la Sierra,2022,35,4,92.0,6,2024
36,Estudiante_36,2022-05-02,f,Cochabamba,2022,36,2,56.0,2,2024
37,Estudiante_37,2023-03-21,f,Sucre,2023,37,4,68.0,4,2024
38,Estudiante_38,2021-12-08,m,Santa Cruz de la Sierra,2021,38,1,66.0,2,2024
